alpha.liquid,alpha.vapour,heatFlux.structure,p,T.interface,T.liquid,T.vapour,U.liquid_Magnitude
0.365609,0.0688831,1.50385e+06,1.47467e+07,613.919,613.306,613.945,5.72187
0.365968,0.0685245,1.50384e+06,1.47468e+07,613.919,613.298,613.945,5.7169
0.366326,0.0681661,1.50384e+06,1.47469e+07,613.92,613.289,613.945,5.71198
0.366684,0.0678078,1.50384e+06,1.47469e+07,613.92,613.28,613.946,5.70706
0.367043,0.0674495,1.50384e+06,1.4747e+07,613.92,613.272,613.946,5.70214
0.367401,0.0670912,1.50384e+06,1.47471e+07,613.921,613.263,613.946,5.69723
0.367759,0.0667329,1.50384e+06,1.47472e+07,613.921,613.254,613.946,5.69231
0.368118,0.0663746,1.50384e+06,1.47473e+07,613.922,613.245,613.947,5.68739
0.368476,0.0660162,1.50384e+06,1.47473e+07,613.922,613.236,613.947,5.68248
0.368834,0.0656579,1.50384e+06,1.47474e+07,613.923,613.228,613.947,5.67756
0.369193,0.0652996,1.50383e+06,1.47475e+07,613.923,613.219,613.947,5.67264
0.369551,0.0649413,1.50383e+06,1.47476e+07,613.924,613.21,613.948,5.66772
0.369909,0.064583,1.50383e+06,1.47477e+07,613.924,613.201,613.948,5.66281
0.370268,0.0642246,1.50383e+06,1.47478e+07,613.924,613.192,613.948,5.65789
0.370626,0.0638663,1.50383e+06,1.47478e+07,613.925,613.184,613.948,5.65297
0.370984,0.0635086,1.50383e+06,1.47479e+07,613.925,613.174,613.949,5.64812
0.371341,0.063151,1.50383e+06,1.4748e+07,613.926,613.164,613.949,5.64327
0.371699,0.0627934,1.50383e+06,1.47481e+07,613.926,613.155,613.949,5.63843
0.372056,0.0624358,1.50382e+06,1.47482e+07,613.927,613.145,613.949,5.63359
0.372414,0.0620782,1.50382e+06,1.47482e+07,613.927,613.135,613.95,5.62875
0.372772,0.0617206,1.50382e+06,1.47483e+07,613.928,613.126,613.95,5.62391
0.373129,0.061363,1.50382e+06,1.47484e+07,613.928,613.116,613.95,5.61907
0.373487,0.0610054,1.50382e+06,1.47485e+07,613.929,613.106,613.95,5.61423
0.373845,0.0606478,1.50382e+06,1.47486e+07,613.929,613.097,613.951,5.60939
0.374202,0.0602902,1.50382e+06,1.47487e+07,613.929,613.087,613.951,5.60454
0.37456,0.0599326,1.50381e+06,1.47487e+07,613.93,613.077,613.951,5.5997
0.374917,0.059575,1.50381e+06,1.47488e+07,613.93,613.068,613.951,5.59486
0.375275,0.0592174,1.50381e+06,1.47489e+07,613.931,613.058,613.951,5.59002
0.375632,0.0588606,1.50381e+06,1.4749e+07,613.931,613.048,613.952,5.58522
0.375987,0.0585051,1.50381e+06,1.47491e+07,613.932,613.037,613.952,5.58047
0.376343,0.0581495,1.50381e+06,1.47491e+07,613.932,613.027,613.952,5.57572
0.376698,0.057794,1.5038e+06,1.47492e+07,613.932,613.016,613.952,5.57097
0.377054,0.0574384,1.5038e+06,1.47493e+07,613.933,613.005,613.953,5.56622
0.37741,0.0570829,1.5038e+06,1.47494e+07,613.933,612.995,613.953,5.56147
0.377765,0.0567273,1.5038e+06,1.47494e+07,613.934,612.984,613.953,5.55672
0.378121,0.0563718,1.5038e+06,1.47495e+07,613.934,612.974,613.953,5.55196
0.378476,0.0560163,1.50379e+06,1.47496e+07,613.934,612.963,613.954,5.54721
0.378832,0.0556607,1.50379e+06,1.47496e+07,613.935,612.953,613.954,5.54246
0.379187,0.0553052,1.50379e+06,1.47497e+07,613.935,612.942,613.954,5.53771
0.379543,0.0549496,1.50379e+06,1.47498e+07,613.936,612.931,613.954,5.53296
0.379898,0.0545941,1.50379e+06,1.47499e+07,613.936,612.921,613.955,5.52821
0.380254,0.0542385,1.50378e+06,1.47499e+07,613.937,612.91,613.955,5.52346
0.380606,0.0538863,1.50378e+06,1.475e+07,613.937,612.899,613.955,5.51881
0.380958,0.0535342,1.50378e+06,1.47501e+07,613.937,612.887,613.956,5.51417
0.38131,0.0531821,1.50378e+06,1.47502e+07,613.938,612.876,613.956,5.50952
0.381662,0.05283,1.50378e+06,1.47502e+07,613.938,612.864,613.956,5.50488
0.382015,0.0524778,1.50378e+06,1.47503e+07,613.938,612.853,613.956,5.50023
0.382367,0.0521257,1.50377e+06,1.47504e+07,613.939,612.841,613.957,5.49559
0.382719,0.0517736,1.50377e+06,1.47504e+07,613.939,612.83,613.957,5.49094
0.383071,0.0514215,1.50377e+06,1.47505e+07,613.94,612.818,613.957,5.4863
0.383423,0.0510694,1.50377e+06,1.47506e+07,613.94,612.807,613.957,5.48165
0.383775,0.0507172,1.50377e+06,1.47507e+07,613.94,612.795,613.958,5.477
0.384127,0.0503651,1.50376e+06,1.47507e+07,613.941,612.784,613.958,5.47236
0.384479,0.050013,1.50376e+06,1.47508e+07,613.941,612.772,613.958,5.46771
0.384831,0.0496609,1.50376e+06,1.47509e+07,613.941,612.761,613.958,5.46307
0.385181,0.0493115,1.50376e+06,1.47509e+07,613.942,612.749,613.959,5.45849
0.385528,0.0489642,1.50376e+06,1.4751e+07,613.942,612.736,613.959,5.45396
0.385875,0.048617,1.50376e+06,1.47511e+07,613.942,612.724,613.959,5.44943
0.386222,0.0482697,1.50375e+06,1.47511e+07,613.943,612.711,613.959,5.4449
0.38657,0.0479225,1.50375e+06,1.47512e+07,613.943,612.699,613.959,5.44037
0.386917,0.0475753,1.50375e+06,1.47513e+07,613.944,612.686,613.96,5.43585
0.387264,0.047228,1.50375e+06,1.47513e+07,613.944,612.674,613.96,5.43132
0.387611,0.0468808,1.50375e+06,1.47514e+07,613.944,612.662,613.96,5.42679
0.387958,0.0465335,1.50374e+06,1.47515e+07,613.945,612.649,613.96,5.42226
0.388306,0.0461863,1.50374e+06,1.47515e+07,613.945,612.637,613.96,5.41773
0.388653,0.045839,1.50374e+06,1.47516e+07,613.945,612.624,613.96,5.4132
0.389,0.0454918,1.50374e+06,1.47517e+07,613.946,612.612,613.961,5.40868
0.389347,0.0451446,1.50374e+06,1.47517e+07,613.946,612.599,613.961,5.40415
0.389694,0.0447981,1.50373e+06,1.47518e+07,613.947,612.587,613.961,5.39964
0.390035,0.0444572,1.50373e+06,1.47519e+07,613.947,612.573,613.961,5.39524
0.390376,0.0441163,1.50373e+06,1.47519e+07,613.947,612.56,613.961,5.39084
0.390717,0.0437754,1.50373e+06,1.4752e+07,613.948,612.547,613.962,5.38644
0.391057,0.0434345,1.50373e+06,1.47521e+07,613.948,612.533,613.962,5.38204
0.391398,0.0430936,1.50373e+06,1.47521e+07,613.948,612.52,613.962,5.37765
